seed	dt_1_test	rf_1_test	dt_1_train	rf_1_train	dt_2_test	rf_2_test	dt_2_train	rf_2_train	dt_3_test	rf_3_test	dt_3_train	rf_3_train	dt_4_test	rf_4_test	dt_4_train	rf_4_train	dt_5_test	rf_5_test	dt_5_train	rf_5_train	dt_6_test	rf_6_test	dt_6_train	rf_6_train	dt_None_test	rf_None_test	dt_None_train	rf_None_train
24	0.305	0.255	0.32	0.32	0.36	0.455	0.41625	0.4975	0.455	0.615	0.46875	0.62625	0.55	0.695	0.5225	0.74125	0.665	0.775	0.65	0.81375	0.65	0.795	0.71875	0.8675	0.745	0.79	0.93875	0.995
25	0.435	0.435	0.47375	0.47375	0.48	0.54	0.52125	0.61375	0.545	0.59	0.60875	0.6575	0.6	0.63	0.6975	0.72125	0.675	0.71	0.78375	0.795	0.725	0.715	0.855	0.87625	0.76	0.725	0.96125	0.995
26	0.27	0.345	0.29875	0.3725	0.355	0.415	0.38125	0.5	0.43	0.495	0.45375	0.5825	0.47	0.595	0.51	0.7025	0.56	0.665	0.595	0.80375	0.635	0.71	0.695	0.8625	0.735	0.705	0.9925	0.99625
27	0.36	0.425	0.34375	0.425	0.435	0.46	0.4275	0.4725	0.525	0.61	0.5375	0.62375	0.6	0.71	0.6075	0.74375	0.67	0.75	0.6975	0.83125	0.67	0.755	0.7875	0.885	0.805	0.73	0.995	0.995
28	0.305	0.365	0.3025	0.38375	0.365	0.475	0.42125	0.4875	0.43	0.545	0.47875	0.61375	0.475	0.675	0.5675	0.7325	0.52	0.735	0.65625	0.82	0.555	0.785	0.73	0.87125	0.69	0.765	0.93125	0.99375
29	0.275	0.32	0.32875	0.3625	0.295	0.48	0.33625	0.5225	0.385	0.585	0.4075	0.6125	0.57	0.66	0.5325	0.65875	0.585	0.72	0.585	0.72625	0.645	0.735	0.65125	0.75875	0.725	0.765	0.91125	0.9375
30	0.295	0.35	0.29125	0.36625	0.395	0.535	0.39375	0.55125	0.53	0.705	0.55	0.70875	0.605	0.78	0.63875	0.81125	0.7	0.84	0.76125	0.875	0.72	0.865	0.825	0.92625	0.785	0.865	0.96125	0.99625
31	0.38	0.42	0.4325	0.48625	0.415	0.425	0.48875	0.49125	0.42	0.52	0.49875	0.5775	0.465	0.545	0.565	0.64125	0.54	0.58	0.64	0.7125	0.565	0.62	0.6975	0.77875	0.76	0.725	0.98	0.9925
32	0.225	0.415	0.2375	0.3925	0.32	0.535	0.335	0.5325	0.41	0.57	0.42375	0.56875	0.515	0.595	0.53375	0.67875	0.56	0.68	0.58625	0.77	0.595	0.745	0.67125	0.8325	0.795	0.82	0.99875	0.99625
33	0.365	0.4	0.33625	0.37625	0.405	0.56	0.4125	0.54625	0.535	0.59	0.5525	0.5875	0.64	0.765	0.66	0.77875	0.68	0.77	0.71	0.84625	0.785	0.84	0.79375	0.89875	0.805	0.83	0.9325	0.99
34	0.335	0.335	0.33	0.33	0.47	0.51	0.44875	0.515	0.5	0.6	0.50875	0.64125	0.49	0.64	0.525	0.7225	0.535	0.745	0.56375	0.82375	0.62	0.81	0.68875	0.87875	0.665	0.805	0.8425	0.99625
35	0.28	0.325	0.3275	0.36875	0.355	0.505	0.4	0.50875	0.495	0.64	0.46125	0.66875	0.55	0.705	0.5575	0.7175	0.485	0.78	0.50125	0.8025	0.575	0.835	0.58125	0.84875	0.71	0.82	0.8225	0.99875
36	0.185	0.345	0.2225	0.35	0.32	0.4	0.30125	0.4625	0.385	0.545	0.385	0.56625	0.4	0.6	0.4825	0.69375	0.445	0.705	0.53875	0.78875	0.6	0.745	0.67875	0.84875	0.705	0.73	1.0	0.99875
37	0.38	0.405	0.38625	0.4	0.475	0.44	0.47	0.45	0.52	0.56	0.54375	0.58125	0.6	0.645	0.60875	0.65875	0.635	0.675	0.66625	0.71125	0.64	0.705	0.71625	0.78875	0.695	0.725	0.99875	0.995
38	0.33	0.38	0.275	0.3525	0.355	0.48	0.3825	0.47	0.435	0.595	0.4725	0.58625	0.545	0.72	0.59625	0.7525	0.625	0.755	0.71625	0.8325	0.625	0.755	0.78625	0.87125	0.76	0.79	0.985	0.995
39	0.255	0.31	0.26875	0.3075	0.34	0.505	0.3575	0.49125	0.45	0.71	0.455	0.705	0.54	0.76	0.5425	0.79125	0.635	0.82	0.62375	0.83875	0.65	0.82	0.70375	0.8825	0.78	0.845	0.98125	0.9975
40	0.225	0.255	0.2775	0.31	0.29	0.39	0.335	0.41125	0.345	0.6	0.42	0.61	0.425	0.64	0.47625	0.68375	0.56	0.705	0.575	0.77375	0.58	0.75	0.62125	0.84	0.81	0.79	0.99875	0.99875
41	0.245	0.27	0.2975	0.32375	0.39	0.485	0.41125	0.5425	0.53	0.655	0.51	0.70125	0.545	0.735	0.59	0.75875	0.61	0.8	0.6675	0.865	0.69	0.82	0.7375	0.91	0.73	0.785	0.9475	0.9975
