curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
-4.0	0	0.22553174	0.010728597640991211	0.2254425	0.11358165740966797	0.43437468829702436	0.14776611328125	0.43437468829702436	0.13534045219421387	0.43437468829702436	0.410022497177124	0.43437468829702436	0.41921091079711914
-4.0	1	0.20658194	0.00990438461303711	0.1981691	0.11638092994689941	0.5884646873535089	0.1313164234161377	0.5884646873535089	0.13734698295593262	0.5884646873535089	0.4091813564300537	0.5884646873535089	0.4186720848083496
-4.0	2	0.17148918	0.009711980819702148	0.16982402	0.10736560821533203	0.5904222021524377	0.1506798267364502	0.5904222021524377	0.15224647521972656	0.5904222021524377	0.4599635601043701	0.5904222021524377	0.43220996856689453
-4.0	3	0.20279515	0.010033130645751953	0.19906898	0.13872218132019043	0.5349036407561754	0.13610196113586426	0.5349036407561754	0.14139556884765625	0.5349036407561754	0.42328429222106934	0.5349036407561754	0.43134570121765137
-4.0	4	0.184803	0.010101079940795898	0.18175735	0.11879253387451172	0.4382918076368937	0.1380462646484375	0.4382918076368937	0.13723468780517578	0.4382918076368937	0.4139437675476074	0.4382918076368937	0.42194294929504395
-4.0	5	0.1675368	0.010329008102416992	0.15914054	0.11809873580932617	0.5231077737031112	0.13600993156433105	0.5231077737031112	0.14546823501586914	0.5231077737031112	0.43250513076782227	0.5231077737031112	0.4316749572753906
-4.0	6	0.1889701	0.010325193405151367	0.1900597	0.1193695068359375	0.6380182604378725	0.13643717765808105	0.6380182604378725	0.14048004150390625	0.6380182604378725	0.43477964401245117	0.6380182604378725	0.42531442642211914
-4.0	7	0.21772078	0.010129928588867188	0.20933352	0.11686468124389648	0.5810863969795881	0.1497209072113037	0.5810863969795881	0.14755511283874512	0.5810863969795881	0.45148515701293945	0.5810863969795881	0.4255547523498535
-4.0	8	0.22060739	0.010154485702514648	0.21248975	0.11504936218261719	0.5974680148139475	0.13443255424499512	0.5974680148139475	0.1380465030670166	0.5974680148139475	0.4144613742828369	0.5974680148139475	0.42279720306396484
-4.0	9	0.17317808	0.009843826293945312	0.17514126	0.11563420295715332	0.5562281600963429	0.1334679126739502	0.5562281600963429	0.15628337860107422	0.5562281600963429	0.453843355178833	0.5562281600963429	0.47180628776550293
-2.0	10	0.24598116	0.009736776351928711	0.24149258	0.12275171279907227	0.5791903144121732	0.13159775733947754	0.5791903144121732	0.13764119148254395	0.5791903144121732	0.41565847396850586	0.5791903144121732	0.4218311309814453
-2.0	11	0.2315518	0.009901285171508789	0.22804339	0.11635589599609375	0.6184798659050764	0.13285017013549805	0.6184798659050764	0.13765954971313477	0.6184798659050764	0.4120357036590576	0.6184798659050764	0.421130895614624
-2.0	12	0.20748927	0.01014852523803711	0.20340668	0.1137242317199707	0.5989400395356987	0.132493257522583	0.5989400395356987	0.13689875602722168	0.5989400395356987	0.4176640510559082	0.5989400395356987	0.427379846572876
-2.0	13	0.18476288	0.00854635238647461	0.18646869	0.11858201026916504	0.5700386833139134	0.1334991455078125	0.5700386833139134	0.13666176795959473	0.5700386833139134	0.41379761695861816	0.5700386833139134	0.4241366386413574
-2.0	14	0.19734947	0.009744882583618164	0.19520047	0.1183629035949707	0.4590838326638728	0.1541743278503418	0.4590838326638728	0.15265607833862305	0.4590838326638728	0.46353983879089355	0.4590838326638728	0.47450947761535645
-2.0	15	0.17914496	0.010107994079589844	0.16909346	0.11541986465454102	0.5362061406982572	0.13373494148254395	0.5362061406982572	0.13942480087280273	0.5362061406982572	0.41184020042419434	0.5362061406982572	0.42223238945007324
-2.0	16	0.1981194	0.010309219360351562	0.1936778	0.1164097785949707	0.5190155088957881	0.13187050819396973	0.5190155088957881	0.13750624656677246	0.5190155088957881	0.4167766571044922	0.5190155088957881	0.4683821201324463
