table	dataset	signature	sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron
link_prediction	dolphins	"(\S{2}	imes\E{2}	imes\H{2})^2	imes\E{1}"	0.9662721893491124	0.9230769230769231	0.9662721893491124	0.9065088757396451	0.9662721893491124	0.9094674556213018	0.921301775147929	0.9065088757396451
link_prediction	football	"(\S{2}	imes\E{2}	imes\H{2})^2	imes\E{1}"	0.8571428571428571	0.8306122448979592	0.8571428571428571	0.8204081632653061	0.8571428571428571	0.8306122448979592	0.7979591836734694	0.8204081632653061
link_prediction	karate_club	"(\S{2}	imes\E{2}	imes\H{2})^2	imes\E{1}"	0.9510204081632653	0.8857142857142858	0.9510204081632653	0.8877551020408163	0.9510204081632653	0.8877551020408163	0.8938775510204081	0.6571428571428571
link_prediction	lesmis	"(\S{2}	imes\E{2}	imes\H{2})^2	imes\E{1}"	0.957421875	0.9265625	0.955859375	0.922265625	0.9546875	0.937109375	0.9375	0.921875
link_prediction	polbooks	"(\S{2}	imes\E{2}	imes\H{2})^2	imes\E{1}"	0.9578231292517007	0.9285714285714286	0.9582766439909298	0.9224489795918368	0.9578231292517007	0.9213151927437642	0.9482993197278912	0.9224489795918368
regression_signature	regression_signature	$(\S{2})^2$	0.19603211468364723	0.19090016039221416	0.19635194890000002	0.1910280333	0.1966463582755124	0.19095086203757464	0.1961160432	
regression_signature	regression_signature	$\E{4}$	0.19658281339373815	0.19134415621977874	0.1961209551	0.19037581330000003	0.1965486301428412	0.19134415621977874	0.19426145900000003	
regression_signature	regression_signature	$\H{2}\times\E{2}$	0.1989973817509868	0.1939326267689542	0.1980742794	0.1930332215	0.19850255357897473	0.19311953375419288	0.195505572	
regression_signature	regression_signature	$\H{2}\times\S{2}$	0.20012399105499246	0.19413231637390777	0.19908046769999999	0.1930474482	0.19896450157083098	0.19425626093001266	0.19726853225	
regression_signature	regression_signature	$\H{4}$	0.18895527203454524	0.18353356599298626	0.1849931051	0.17844024149999999	0.18727427946458236	0.18087147048523797	0.17519096005	
regression_signature	regression_signature	$\S{2}\times\E{2}$	0.20041697835221972	0.194466386675199	0.19919067326	0.19442488856	0.20069791417227237	0.19485553332122355	0.19909062824999998	
regression_signature	regression_signature	$\S{4}$	0.1927191089532406	0.18821205105690703	0.1944875897	0.18882511629999998	0.19325254514929108	0.18963942742478995	0.19431062310000002	
regression_signature	regression_signature	($\H{2})^2$	0.19843413103853141	0.19321375697340978	0.1958080714	0.19108272240000002	0.19755558048389862	0.19234445091174443	0.1933910968	
regression_single_curvature	regression_single_curvature	$\E{2}$	0.2012764267184499	0.1989071588818922	0.20115836439999998	0.1980540475	0.2013008541743359	0.1989071588818922	0.21097595989999998	
regression_single_curvature	regression_single_curvature	$\H{2,0.25}$	0.19913379645598753	0.19563463374682535	0.19890974520000002	0.19569090960000002	0.19916742411930244	0.1960593405148455	0.20673160840000002	
regression_single_curvature	regression_single_curvature	$\H{2,0.5}$	0.19826919411623345	0.1944410186342832	0.19693305509999998	0.19334184570000001	0.1972381960203446	0.19427716186121802	0.2061067825	
regression_single_curvature	regression_single_curvature	$\H{2,1.0}$	0.20545612020627693	0.2014582653634834	0.2052142492	0.2006302525	0.20586621845548392	0.20291034549719997	0.2137611521	
regression_single_curvature	regression_single_curvature	$\H{2,2.0}$	0.20222196321743433	0.19898442892143067	0.2022714721	0.1983538221	0.20334248612064332	0.20057320524120317	0.2111637482	
regression_single_curvature	regression_single_curvature	$\H{2,4.0}$	0.20572628438162138	0.2022049370920684	0.20635973400000002	0.2020944537	0.2071439234733537	0.20428997029412474	0.2154741673	
regression_single_curvature	regression_single_curvature	$\S{2,-0.25}$	0.19809027901254728	0.19506065044478038	0.19778245930000002	0.19392094149999997	0.19759006756481579	0.19468789422760413	0.20619868700000002	
regression_single_curvature	regression_single_curvature	$\S{2,-0.5}$	0.20256946853056865	0.198636831508035	0.2016225488	0.1971760888	0.20062036458093604	0.19759148321645392	0.2093952356	
regression_single_curvature	regression_single_curvature	$\S{2,-1.0}$	0.20296389727133218	0.1992188411273006	0.20085719770000002	0.1968768585	0.20087132343985606	0.19723339950936564	0.20722754699999998	
regression_single_curvature	regression_single_curvature	$\S{2,-2.0}$	0.20471466747358885	0.2008591004623649	0.20103796890000003	0.19642396380000002	0.20146822541450407	0.1978070852655374	0.20594944380000002	
regression_single_curvature	regression_single_curvature	$\S{2,-4.0}$	0.1993707360383652	0.19594421944333587	0.1945630099	0.1895512127	0.19635355979656868	0.1918559792264648	0.19759060009999999	
vae	blood_cell_scrna	"$\S{2} 	imes \E{2} \times (\H{2})^3$"	0.18852	0.19251000000000001	0.17626	0.20146000000000003	0.18719000000000002	0.19558	0.17393	0.027590000000000003
vae	cifar_100	$(\S{2})^4$	0.10042999999999999	0.11516	0.10787	0.12042	0.101	0.11508	0.0864	0.05722000000000001
vae	lymphoma	$(\S{2})^2$	0.8169276659209546	0.8158836689038031	0.8367263236390754	0.8312080536912753	0.8124906785980611	0.8138702460850112	0.7782997762863535	0.781096196868009
vae	mnist	"$\S{2} 	imes \E{2} 	imes \H{2}$"	0.28858	0.35712	0.30871	0.39392	0.28602	0.36527	0.41949	0.1692
