signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
SS	396	0.254065715309335	0.004557371139526367	0.19701166940260073	0.02628302574157715	0.2688481	0.94486403465271	0.18965308	8.398566961288452	0.2699702570850032	0.0029630661010742188	0.19200395955811972	0.02740621566772461	0.19983941	0.002850770950317383	0.5715887629297574	0.6690590381622314	0.5715887629297574	0.7012848854064941	0.5715887629297574	2.0952601432800293	0.5715887629297574	2.15749454498291
SS	397	0.29961797391782197	0.004305362701416016	0.23248094401553046	0.026495695114135742	0.32715505	0.976132869720459	0.24242488	8.513612508773804	0.3163618438308533	0.003196239471435547	0.24416693542354345	0.02640390396118164	0.2403509	0.0029311180114746094	0.52790043479996	0.6729247570037842	0.52790043479996	0.7010376453399658	0.52790043479996	2.0934600830078125	0.52790043479996	2.121326208114624
SS	398	0.2608098304213264	0.00426483154296875	0.19935211455905572	0.026614665985107422	0.2609325	0.9650797843933105	0.19893862	8.765901565551758	0.2848852661031468	0.0031104087829589844	0.20350559003220584	0.026284456253051758	0.20939082	0.0030965805053710938	0.5360061778632648	0.655296802520752	0.5360061778632648	0.6998810768127441	0.5360061778632648	2.062716245651245	0.5360061778632648	2.160782814025879
SS	399	0.26659041423841784	0.004538774490356445	0.21467934022934523	0.026000261306762695	0.29330838	1.0042541027069092	0.20871085	9.004109144210815	0.28797631549388736	0.0030710697174072266	0.2167650650263661	0.027404069900512695	0.21833804	0.003374338150024414	0.5741888238855053	0.6626486778259277	0.5741888238855053	0.6876356601715088	0.5741888238855053	2.087193250656128	0.5741888238855053	2.1638474464416504
SE	400	0.30418026754863264	0.00415802001953125	0.23590024494373804	0.026421785354614258	0.33221203	1.035750389099121	0.23831555	8.989716053009033	0.3306112462870167	0.0033321380615234375	0.2340931746921263	0.026116371154785156	0.2401424	0.003042936325073242	0.5378881318748155	0.6637187004089355	0.5378881318748155	0.690762996673584	0.5378881318748155	2.1065473556518555	0.5378881318748155	2.156198263168335
SE	401	0.2531004630240298	0.003538370132446289	0.18422647407717194	0.026224374771118164	0.22774605	0.9743602275848389	0.1745252	8.627454280853271	0.240325451998002	0.0029718875885009766	0.17770239767863388	0.026621103286743164	0.1796088	0.0030066967010498047	0.6226772657511915	0.6644775867462158	0.6226772657511915	0.6944386959075928	0.6226772657511915	2.05979585647583	0.6226772657511915	2.124917507171631
SE	402	0.2650199622885056	0.0040874481201171875	0.19970361669446163	0.02644658088684082	0.26548636	0.9513227939605713	0.20129573	8.522774457931519	0.2427600887169209	0.0035102367401123047	0.19803149881549384	0.026545286178588867	0.19709	0.0029146671295166016	0.51559214041163	0.6964418888092041	0.51559214041163	0.718447208404541	0.51559214041163	2.0855660438537598	0.51559214041163	2.1668362617492676
SE	403	0.2457757370583681	0.0035250186920166016	0.1912556751055416	0.02634906768798828	0.2519283	0.9740462303161621	0.18397525	8.837103366851807	0.2600586834854448	0.004047393798828125	0.19792732203750446	0.02765178680419922	0.18855205	0.002959728240966797	0.5581987577191443	0.7412950992584229	0.5581987577191443	0.713972806930542	0.5581987577191443	2.1035873889923096	0.5581987577191443	2.1184513568878174
SE	404	0.27347512124617335	0.0033648014068603516	0.22082042388832868	0.026326417922973633	0.28653377	0.9511251449584961	0.21502753	8.736538410186768	0.28538075088266474	0.0031659603118896484	0.21985083420657497	0.02671360969543457	0.22421056	0.0030927658081054688	0.5308050921238152	0.6671772003173828	0.5308050921238152	0.6972992420196533	0.5308050921238152	2.1147408485412598	0.5308050921238152	2.151684522628784
SE	405	0.23966992905536763	0.003760099411010742	0.17449843115828076	0.0261688232421875	0.257611	0.9816203117370605	0.17515309	8.58040189743042	0.24070516200181413	0.0029625892639160156	0.18544450478184182	0.026004552841186523	0.17612126	0.0028543472290039062	0.4715713189641384	0.6568362712860107	0.4715713189641384	0.6899917125701904	0.4715713189641384	2.0935072898864746	0.4715713189641384	2.1707043647766113
SE	406	0.30708746549948657	0.004189729690551758	0.21448203988464049	0.026441097259521484	0.31214908	0.9502387046813965	0.21109742	8.58596158027649	0.27509879614167465	0.003342151641845703	0.21929792065851433	0.02606058120727539	0.2167891	0.0030138492584228516	0.5206865654096501	0.6595921516418457	0.5206865654096501	0.6987612247467041	0.5206865654096501	2.106964588165283	0.5206865654096501	2.1499831676483154
SE	407	0.2792623023409953	0.0037872791290283203	0.21340785865768025	0.02664637565612793	0.2777866	1.0063774585723877	0.20406519	8.825113296508789	0.29005604541752805	0.0032372474670410156	0.2208255912383978	0.02632284164428711	0.21374798	0.002910137176513672	0.5766169006562286	0.6625499725341797	0.5766169006562286	0.6878678798675537	0.5766169006562286	2.109839916229248	0.5766169006562286	2.1329386234283447
SE	408	0.21291970004210317	0.0039141178131103516	0.14241614226388366	0.026665449142456055	0.2083537	1.002417802810669	0.1460955	8.846674919128418	0.2088784000604047	0.0029735565185546875	0.1413716193962438	0.026020050048828125	0.1422136	0.0029587745666503906	0.4367177972599857	0.6627340316772461	0.4367177972599857	0.683734655380249	0.4367177972599857	2.0936496257781982	0.4367177972599857	2.164597988128662
SE	409	0.22234231371314112	0.003751993179321289	0.16258364846128998	0.026182174682617188	0.20912568	0.9817564487457275	0.16223693	8.918764591217041	0.2214435355153535	0.0032112598419189453	0.16251519927800223	0.026424407958984375	0.16823797	0.002980947494506836	0.5341490772582345	0.6684508323669434	0.5341490772582345	0.7049858570098877	0.5341490772582345	2.1138439178466797	0.5341490772582345	2.173280954360962
SE	410	0.31675526388711595	0.0033864974975585938	0.22853109657702672	0.02653026580810547	0.300343	0.9901704788208008	0.23006852	8.90464186668396	0.2848402257228739	0.0030717849731445312	0.22019636098101833	0.026027202606201172	0.22658557	0.003068685531616211	0.5576968760707215	0.6596291065216064	0.5576968760707215	0.6944906711578369	0.5576968760707215	2.1096529960632324	0.5576968760707215	2.1680495738983154
SE	411	0.27455784454356374	0.0034041404724121094	0.20634603737755527	0.02634716033935547	0.24953653	0.9890708923339844	0.2016803	8.493192434310913	0.2747314630775828	0.002971649169921875	0.20497494055092813	0.026343584060668945	0.2018098	0.002844572067260742	0.5984602530006602	0.6616816520690918	0.5984602530006602	0.6852762699127197	0.5984602530006602	2.1179792881011963	0.5984602530006602	2.1587953567504883
SE	412	0.23401536984491156	0.004166364669799805	0.17107005541453174	0.02626204490661621	0.22834907	1.0095179080963135	0.17185529	8.869765520095825	0.2242402147805447	0.0030901432037353516	0.17184441628549765	0.026631593704223633	0.16312842	0.0030221939086914062	0.5750732504805789	0.661297082901001	0.5750732504805789	0.7012083530426025	0.5750732504805789	2.1108663082122803	0.5750732504805789	2.1761252880096436
SE	413	0.2249172660595202	0.003626108169555664	0.1672201821171962	0.026134729385375977	0.21736997	1.0033695697784424	0.16836634	8.90941309928894	0.21660209447602727	0.003127574920654297	0.1645513702965905	0.026221513748168945	0.16401581	0.0035119056701660156	0.5122033764703986	0.6767821311950684	0.5122033764703986	0.7137064933776855	0.5122033764703986	2.129382610321045	0.5122033764703986	2.1571757793426514
