sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	signature	seed
0.18762082727795443	0.17614687362239173	0.1871095	0.17506023	0.18913204313800297	0.17949632541182786	0.1860228	HH	0
0.2129233722715699	0.2114822793196759	0.20982654	0.20312834	0.2151549411685127	0.20917977149321476	0.20044805	HH	1
0.228627782635888	0.22822724892625343	0.23275939	0.22382419	0.23435685520573069	0.22468443650337516	0.23800072	HH	2
0.2102767939261652	0.20314975531590027	0.20650484	0.2044006	0.2079089780179603	0.20203527267153934	0.20003402	HH	3
0.2291905058606769	0.2205067249296632	0.21786176	0.21655342	0.22411969045424154	0.21876177473329028	0.21626091	HH	4
0.16491423158562504	0.16029638308203992	0.16584027	0.1624915	0.16484839443513535	0.1595233017789334	0.16187243	HH	5
0.17637717830580826	0.17312168956740814	0.17593077	0.17053865	0.1731494180472854	0.1718751134376869	0.16626525	HH	6
0.2093138264448739	0.20237580584689976	0.20489042	0.19783565	0.21133704886695115	0.20502407755085078	0.2108775	HH	7
0.15874841275224233	0.1509910029003391	0.15646508	0.14765568	0.1571952123067985	0.14709987686961012	0.13407263	HH	8
0.17623161979889188	0.17949653218538214	0.18901414	0.17495325	0.17806525796499292	0.17484965366995203	0.18410896	HH	9
0.20902106022325417	0.20832850342585502	0.2134302	0.20652194	0.20490509772890436	0.20415498829660703	0.21875703	HH	10
0.2049330390849767	0.20153319786278145	0.1919573	0.19158779	0.19398159795038153	0.19416738324839045	0.19202623	HH	11
0.21105039196710304	0.21139245489707686	0.21682754	0.21370225	0.21657777506863912	0.20702008270302977	0.21074057	HH	12
0.22222729135454086	0.21998609100029748	0.22321069	0.21796766	0.220698256539624	0.22125537321458705	0.2422821	HH	13
0.24204664389560535	0.2340415092405489	0.23520602	0.22785528	0.2437262720121285	0.233901581432057	0.23261681	HH	14
0.16251064570406668	0.16172182664407606	0.16757378	0.16412924	0.16286990074375968	0.16128120691457015	0.16594952	HH	15
0.17220571964713388	0.17173070276318145	0.17763363	0.17167188	0.17143100456851515	0.17082064841792557	0.17741291	HH	16
0.20577728422010425	0.20202708093710348	0.21103749	0.19502349	0.20793694653103612	0.197856345964503	0.20132984	HH	17
0.18229585017850028	0.1783841592265661	0.17905466	0.17563945	0.18292998798174206	0.17902717343088334	0.19278419	HH	18
0.20312908074333796	0.2009941744862915	0.19528416	0.19573352	0.20544112405693513	0.1994965535221299	0.19440839	HH	19
