embedding	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_adj_f1-micro	tangent_gnn_adj_accuracy	tangent_gnn_adj_time	ambient_gnn_adj_f1-micro	ambient_gnn_adj_accuracy	ambient_gnn_adj_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_adj_rmse	ambient_gnn_adj_rmse	tangent_gnn_rmse	ambient_gnn_rmse
citeseer	0	0.2109004739336493	0.2109004739336493	1.2222285270690918	0.24644549763033174	0.24644549763033174	11.00362253189087	0.22985781990521326	0.22985781990521326	0.12192583084106445	0.23459715639810427	0.23459715639810427	0.13607430458068848	0.22037914691943128	0.22037914691943128	0.3975205421447754	0.24644549763033174	0.24644549763033174	0.4032280445098877	0.22748815165876776	0.22748815165876776	2.0924971103668213	0.22748815165876776	0.22748815165876776	2.0949440002441406								
citeseer	1	0.22511848341232227	0.22511848341232227	1.2332115173339844	0.23696682464454977	0.23696682464454977	11.47365951538086	0.26066350710900477	0.26066350710900477	0.12656092643737793	0.26303317535545023	0.26303317535545023	0.12875032424926758	0.25355450236966826	0.25355450236966826	0.4277458190917969	0.25829383886255924	0.25829383886255924	0.4530031681060791	0.25829383886255924	0.25829383886255924	2.1040337085723877	0.25829383886255924	0.25829383886255924	2.1022796630859375								
citeseer	2	0.24881516587677724	0.24881516587677724	1.4736731052398682	0.23933649289099526	0.23933649289099526	11.53612732887268	0.24170616113744076	0.24170616113744076	0.12651348114013672	0.23933649289099526	0.23933649289099526	0.12969374656677246	0.22274881516587677	0.22274881516587677	0.39278578758239746	0.22985781990521326	0.22985781990521326	0.4053525924682617	0.2725118483412322	0.2725118483412322	2.09309720993042	0.2725118483412322	0.2725118483412322	2.096478223800659								
citeseer	3	0.2559241706161137	0.2559241706161137	1.2363848686218262	0.22985781990521326	0.22985781990521326	11.229834794998169	0.20616113744075829	0.20616113744075829	0.12170529365539551	0.23222748815165878	0.23222748815165878	0.12765264511108398	0.23222748815165878	0.23222748815165878	0.3950822353363037	0.20616113744075829	0.20616113744075829	0.4031987190246582	0.24170616113744076	0.24170616113744076	2.09774112701416	0.24170616113744076	0.24170616113744076	2.0988762378692627								
citeseer	4	0.24881516587677724	0.24881516587677724	1.2805626392364502	0.2677725118483412	0.2677725118483412	11.380590200424194	0.22037914691943128	0.22037914691943128	0.12092232704162598	0.23933649289099526	0.23933649289099526	0.12707281112670898	0.23696682464454977	0.23696682464454977	0.39438462257385254	0.26066350710900477	0.26066350710900477	0.40462470054626465	0.25118483412322273	0.25118483412322273	2.096238136291504	0.25118483412322273	0.25118483412322273	2.1000688076019287								
citeseer	5	0.2156398104265403	0.2156398104265403	1.2366766929626465	0.22274881516587677	0.22274881516587677	11.481360912322998	0.22748815165876776	0.22748815165876776	0.12170839309692383	0.22985781990521326	0.22985781990521326	0.12950396537780762	0.22748815165876776	0.22748815165876776	0.3972184658050537	0.22037914691943128	0.22037914691943128	0.406482458114624	0.24644549763033174	0.24644549763033174	2.097008228302002	0.24644549763033174	0.24644549763033174	2.0995399951934814								
citeseer	6	0.22985781990521326	0.22985781990521326	1.230769395828247	0.2037914691943128	0.2037914691943128	11.270862340927124	0.22274881516587677	0.22274881516587677	0.12371087074279785	0.23696682464454977	0.23696682464454977	0.12812089920043945	0.23222748815165878	0.23222748815165878	0.40006351470947266	0.2843601895734597	0.2843601895734597	0.402909517288208	0.25118483412322273	0.25118483412322273	2.0974364280700684	0.25118483412322273	0.25118483412322273	2.100043296813965								
citeseer	7	0.2156398104265403	0.2156398104265403	1.2224702835083008	0.23459715639810427	0.23459715639810427	11.21365475654602	0.25829383886255924	0.25829383886255924	0.12490582466125488	0.2559241706161137	0.2559241706161137	0.13116931915283203	0.25829383886255924	0.25829383886255924	0.4013803005218506	0.25829383886255924	0.25829383886255924	0.4050617218017578	0.25118483412322273	0.25118483412322273	2.099402904510498	0.25118483412322273	0.25118483412322273	2.100527286529541								
citeseer	8	0.2037914691943128	0.2037914691943128	1.2449712753295898	0.2772511848341232	0.2772511848341232	11.57402229309082	0.21800947867298578	0.21800947867298578	0.13396286964416504	0.22748815165876776	0.22748815165876776	0.1357557773590088	0.2156398104265403	0.2156398104265403	0.3959183692932129	0.22511848341232227	0.22511848341232227	0.4057018756866455	0.22511848341232227	0.22511848341232227	2.103651762008667	0.22511848341232227	0.22511848341232227	2.1083037853240967								
citeseer	9	0.20616113744075829	0.20616113744075829	1.225893497467041	0.22985781990521326	0.22985781990521326	11.719107866287231	0.25118483412322273	0.25118483412322273	0.12657833099365234	0.24170616113744076	0.24170616113744076	0.13210368156433105	0.25118483412322273	0.25118483412322273	0.4023287296295166	0.23933649289099526	0.23933649289099526	0.41222214698791504	0.25118483412322273	0.25118483412322273	2.0946242809295654	0.25118483412322273	0.25118483412322273	2.0972321033477783								
cora	0	0.193158953722334	0.193158953722334	1.523219347000122	0.23943661971830985	0.23943661971830985	13.38367223739624	0.2776659959758551	0.2776659959758551	0.12518930435180664	0.2776659959758551	0.2776659959758551	0.13223791122436523	0.2776659959758551	0.2776659959758551	0.4007554054260254	0.2776659959758551	0.2776659959758551	0.4089548587799072	0.2776659959758551	0.2776659959758551	2.987300157546997	0.2776659959758551	0.2776659959758551	2.991159200668335								
