sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	seed
0.6125	0.5825	0.6125	0.63	0.6175	0.5775	0.49	0.51	72
0.595	0.595	0.5975	0.6125	0.6	0.5875	0.48	0.52	73
0.6375	0.5975	0.64	0.61	0.6125	0.6075	0.47	0.53	74
0.6225	0.6425	0.6275	0.6425	0.62	0.62	0.495	0.505	75
0.6275	0.6275	0.625	0.6275	0.6025	0.6	0.4975	0.5025	76
0.6075	0.6	0.6	0.6	0.625	0.6125	0.4775	0.5225	77
0.6075	0.615	0.605	0.6575	0.59	0.6225	0.4875	0.5125	78
0.6025	0.5975	0.6	0.605	0.5825	0.58	0.5325	0.5325	79
0.5975	0.59	0.595	0.58	0.5925	0.57	0.4825	0.5175	80
0.6225	0.635	0.6225	0.6175	0.635	0.6125	0.53	0.53	81
0.595	0.6225	0.5975	0.605	0.5875	0.5775	0.4975	0.5025	82
0.6175	0.605	0.6225	0.61	0.605	0.62	0.49	0.51	83
0.5625	0.5825	0.5925	0.5925	0.5725	0.5825	0.5	0.5	84
0.6175	0.65	0.62	0.6375	0.6375	0.62	0.4725	0.5275	85
0.605	0.6175	0.6	0.6	0.605	0.59	0.47	0.53	86
0.59	0.625	0.5925	0.625	0.5875	0.5825	0.5075	0.5075	87
0.61	0.615	0.6175	0.6075	0.585	0.605	0.4875	0.5125	88
0.6225	0.64	0.6275	0.625	0.6	0.5975	0.525	0.525	89
0.585	0.6	0.5875	0.59	0.585	0.58	0.485	0.515	90
0.5925	0.585	0.59	0.595	0.58	0.5675	0.4825	0.5175	91
0.6625	0.6725	0.66	0.655	0.6075	0.6225	0.4975	0.5025	92
0.6375	0.64	0.64	0.6675	0.6325	0.645	0.5225	0.5225	93
0.605	0.6325	0.6025	0.63	0.5975	0.6	0.5025	0.5025	94
0.595	0.6075	0.5775	0.5725	0.56	0.565	0.495	0.505	95
0.615	0.605	0.6125	0.6025	0.605	0.605	0.4975	0.5025	96
0.62	0.6475	0.6225	0.6525	0.6025	0.6175	0.5075	0.5075	97
0.62	0.62	0.625	0.6125	0.5975	0.6075	0.4925	0.5075	98
0.5625	0.55	0.5625	0.585	0.5725	0.585	0.5025	0.5025	99
