sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	embedding	signature	trial
0.926530612244898	0.9387755102040817	0.926530612244898	0.9428571428571428	0.9142857142857143	0.9306122448979591	0.9306122448979591	0.5061224489795918	polblogs	SE	7
0.9102040816326531	0.9183673469387755	0.9020408163265307	0.9224489795918367	0.8285714285714286	0.8816326530612245	0.9387755102040817	0.46530612244897956	polblogs	SE	8
0.9183673469387755	0.9142857142857143	0.9142857142857143	0.9061224489795918	0.9183673469387755	0.9061224489795918	0.9183673469387755	0.4816326530612245	polblogs	SE	9
0.9714285714285714	0.9510204081632653	0.9591836734693877	0.9673469387755103	0.9714285714285714	0.9510204081632653	0.9591836734693877	0.4816326530612245	polblogs	H	0
0.9428571428571428	0.9306122448979591	0.9387755102040817	0.926530612244898	0.9428571428571428	0.9387755102040817	0.9387755102040817	0.4897959183673469	polblogs	H	1
0.9306122448979591	0.926530612244898	0.9387755102040817	0.9387755102040817	0.9306122448979591	0.9183673469387755	0.9551020408163265	0.4530612244897959	polblogs	H	2
0.9306122448979591	0.9142857142857143	0.9387755102040817	0.9224489795918367	0.9306122448979591	0.9306122448979591	0.9224489795918367	0.5551020408163265	polblogs	H	3
0.9224489795918367	0.9306122448979591	0.9469387755102041	0.9551020408163265	0.9428571428571428	0.9510204081632653	0.9387755102040817	0.49795918367346936	polblogs	H	4
0.9469387755102041	0.9551020408163265	0.9510204081632653	0.9387755102040817	0.9469387755102041	0.9510204081632653	0.9387755102040817	0.5306122448979592	polblogs	H	5
0.9387755102040817	0.9346938775510204	0.9387755102040817	0.9428571428571428	0.9387755102040817	0.9428571428571428	0.9551020408163265	0.4489795918367347	polblogs	H	6
0.9224489795918367	0.9224489795918367	0.9061224489795918	0.9306122448979591	0.9224489795918367	0.9306122448979591	0.9306122448979591	0.46530612244897956	polblogs	H	7
0.9142857142857143	0.9387755102040817	0.9387755102040817	0.9428571428571428	0.9061224489795918	0.9346938775510204	0.926530612244898	0.46530612244897956	polblogs	H	8
0.9346938775510204	0.9387755102040817	0.9469387755102041	0.9469387755102041	0.9346938775510204	0.926530612244898	0.926530612244898	0.5061224489795918	polblogs	H	9
0.9061224489795918	0.9183673469387755	0.9183673469387755	0.9020408163265307	0.9061224489795918	0.9020408163265307	0.9306122448979591	0.5183673469387755	polblogs	E	0
0.9346938775510204	0.9469387755102041	0.9510204081632653	0.9510204081632653	0.9346938775510204	0.9387755102040817	0.9510204081632653	0.4897959183673469	polblogs	E	1
0.9306122448979591	0.9306122448979591	0.926530612244898	0.9387755102040817	0.9306122448979591	0.9428571428571428	0.9306122448979591	0.45714285714285713	polblogs	E	2
0.9306122448979591	0.9428571428571428	0.9306122448979591	0.9510204081632653	0.9306122448979591	0.9346938775510204	0.9428571428571428	0.5102040816326531	polblogs	E	3
0.9469387755102041	0.9551020408163265	0.9428571428571428	0.9510204081632653	0.9428571428571428	0.9428571428571428	0.9428571428571428	0.5061224489795918	polblogs	E	4
0.9142857142857143	0.926530612244898	0.9224489795918367	0.9224489795918367	0.9142857142857143	0.9142857142857143	0.9428571428571428	0.5428571428571428	polblogs	E	5
0.9142857142857143	0.9387755102040817	0.9387755102040817	0.9306122448979591	0.9142857142857143	0.926530612244898	0.9387755102040817	0.5102040816326531	polblogs	E	6
0.8734693877551021	0.9183673469387755	0.9224489795918367	0.9306122448979591	0.8734693877551021	0.8857142857142857	0.926530612244898	0.4775510204081633	polblogs	E	7
0.9061224489795918	0.9183673469387755	0.9183673469387755	0.926530612244898	0.9061224489795918	0.9306122448979591	0.9387755102040817	0.5102040816326531	polblogs	E	8
0.926530612244898	0.9428571428571428	0.9306122448979591	0.9346938775510204	0.926530612244898	0.9346938775510204	0.926530612244898	0.4816326530612245	polblogs	E	9
0.9142857142857143	0.9142857142857143	0.8857142857142857	0.8979591836734694	0.9020408163265307	0.9142857142857143	0.9183673469387755	0.42857142857142855	polblogs	S	0
0.9469387755102041	0.9469387755102041	0.9510204081632653	0.9469387755102041	0.9510204081632653	0.9469387755102041	0.9551020408163265	0.46938775510204084	polblogs	S	1
0.9224489795918367	0.9387755102040817	0.9306122448979591	0.9183673469387755	0.926530612244898	0.9346938775510204	0.9346938775510204	0.4857142857142857	polblogs	S	2
0.9224489795918367	0.9142857142857143	0.9224489795918367	0.926530612244898	0.9428571428571428	0.9224489795918367	0.9142857142857143	0.5142857142857142	polblogs	S	3
0.8938775510204081	0.8816326530612245	0.9020408163265307	0.926530612244898	0.9102040816326531	0.9142857142857143	0.9224489795918367	0.5306122448979592	polblogs	S	4
0.9306122448979591	0.9224489795918367	0.9346938775510204	0.9346938775510204	0.9102040816326531	0.926530612244898	0.9428571428571428	0.4775510204081633	polblogs	S	5
0.9142857142857143	0.9183673469387755	0.926530612244898	0.9224489795918367	0.8489795918367347	0.8612244897959184	0.9387755102040817	0.4448979591836735	polblogs	S	6
0.9387755102040817	0.9428571428571428	0.9306122448979591	0.9183673469387755	0.9142857142857143	0.9183673469387755	0.9183673469387755	0.49387755102040815	polblogs	S	7
0.8857142857142857	0.926530612244898	0.9306122448979591	0.9224489795918367	0.9061224489795918	0.9306122448979591	0.926530612244898	0.5142857142857142	polblogs	S	8
0.9102040816326531	0.8979591836734694	0.9346938775510204	0.9183673469387755	0.9061224489795918	0.9224489795918367	0.926530612244898	0.5142857142857142	polblogs	S	9
0.02926829268292683	0.04878048780487805	0.04390243902439024	0.06829268292682927	0.02926829268292683	0.05365853658536585	0.06341463414634146	0.004878048780487805	cs_phds	HH	0
0.05853658536585366	0.05853658536585366	0.05365853658536585	0.05853658536585366	0.05853658536585366	0.06341463414634146	0.07317073170731707	0.0	cs_phds	HH	1
0.06341463414634146	0.07804878048780488	0.04878048780487805	0.07317073170731707	0.03414634146341464	0.07804878048780488	0.06829268292682927	0.0	cs_phds	HH	2
0.04878048780487805	0.06341463414634146	0.04390243902439024	0.03902439024390244	0.06341463414634146	0.04878048780487805	0.07804878048780488	0.0	cs_phds	HH	3
0.04390243902439024	0.05853658536585366	0.05853658536585366	0.04390243902439024	0.03414634146341464	0.07804878048780488	0.08292682926829269	0.004878048780487805	cs_phds	HH	4
0.03414634146341464	0.06829268292682927	0.03414634146341464	0.05365853658536585	0.03414634146341464	0.03902439024390244	0.07317073170731707	0.0	cs_phds	HH	5
