sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	embedding	signature	trial
0.04878048780487805	0.05853658536585366	0.04878048780487805	0.06341463414634146	0.05365853658536585	0.07804878048780488	0.07317073170731707	0.04878048780487805	cs_phds	SE	8
0.05365853658536585	0.05365853658536585	0.04390243902439024	0.03902439024390244	0.03902439024390244	0.05853658536585366	0.07317073170731707	0.03414634146341464	cs_phds	SE	9
0.06341463414634146	0.06829268292682927	0.05365853658536585	0.03902439024390244	0.03414634146341464	0.03902439024390244	0.04390243902439024	0.04878048780487805	cs_phds	H	0
0.04878048780487805	0.07317073170731707	0.04878048780487805	0.03414634146341464	0.05365853658536585	0.07804878048780488	0.06829268292682927	0.05365853658536585	cs_phds	H	1
0.024390243902439025	0.03414634146341464	0.00975609756097561	0.03414634146341464	0.00975609756097561	0.03414634146341464	0.05853658536585366	0.03902439024390244	cs_phds	H	2
0.04878048780487805	0.04390243902439024	0.024390243902439025	0.04878048780487805	0.04878048780487805	0.07804878048780488	0.06341463414634146	0.04390243902439024	cs_phds	H	3
0.05365853658536585	0.06829268292682927	0.02926829268292683	0.02926829268292683	0.05853658536585366	0.07317073170731707	0.07317073170731707	0.04390243902439024	cs_phds	H	4
0.04390243902439024	0.03902439024390244	0.04390243902439024	0.04390243902439024	0.04390243902439024	0.06829268292682927	0.05853658536585366	0.04878048780487805	cs_phds	H	5
0.04878048780487805	0.07804878048780488	0.03414634146341464	0.04878048780487805	0.03414634146341464	0.06829268292682927	0.08292682926829269	0.04390243902439024	cs_phds	H	6
0.04390243902439024	0.04878048780487805	0.03414634146341464	0.04390243902439024	0.02926829268292683	0.03414634146341464	0.07804878048780488	0.03414634146341464	cs_phds	H	7
0.01951219512195122	0.05853658536585366	0.024390243902439025	0.05365853658536585	0.04390243902439024	0.03902439024390244	0.05365853658536585	0.02926829268292683	cs_phds	H	8
0.02926829268292683	0.05365853658536585	0.03902439024390244	0.03414634146341464	0.04878048780487805	0.03902439024390244	0.05365853658536585	0.03902439024390244	cs_phds	H	9
0.05365853658536585	0.05365853658536585	0.05365853658536585	0.05853658536585366	0.05365853658536585	0.05365853658536585	0.06341463414634146	0.05365853658536585	cs_phds	E	0
0.03902439024390244	0.03414634146341464	0.03902439024390244	0.05365853658536585	0.03902439024390244	0.03414634146341464	0.02926829268292683	0.03902439024390244	cs_phds	E	1
0.04878048780487805	0.05365853658536585	0.04878048780487805	0.08292682926829269	0.04878048780487805	0.07317073170731707	0.04390243902439024	0.04878048780487805	cs_phds	E	2
0.05365853658536585	0.04390243902439024	0.05365853658536585	0.04390243902439024	0.05365853658536585	0.06341463414634146	0.05853658536585366	0.05853658536585366	cs_phds	E	3
0.04878048780487805	0.05365853658536585	0.04878048780487805	0.04878048780487805	0.04878048780487805	0.05853658536585366	0.06341463414634146	0.05365853658536585	cs_phds	E	4
0.04390243902439024	0.06829268292682927	0.04390243902439024	0.04390243902439024	0.04390243902439024	0.05853658536585366	0.04390243902439024	0.03902439024390244	cs_phds	E	5
